polygon, area (pxl), area (polygon), perimeter (pxl), perimeter (polygon), circularity
0,2013, 1984.5, 153, 75605.1, 1.08061
1,2095, 2089.5, 156, 75778.2, 1.08179
2,2076, 2040, 153, 75951.2, 1.11443
3,2141, 2121, 158, 76127.7, 1.07774
4,2292, 2260.5, 166, 76308.4, 1.04522
5,2382, 2354.5, 166, 76495, 1.08626
6,1821, 1795, 142, 76659.7, 1.13486
7,2040, 2009.5, 154, 76830.8, 1.08093
8,2046, 2030.5, 155, 77003.5, 1.07017
9,2039, 2026, 149, 77173.6, 1.15413
10,2319, 2296.5, 162, 77356.4, 1.1104
11,1956, 1932.5, 146, 77522.8, 1.15312
12,2268, 2245.5, 154, 77703, 1.20174
13,2159, 2161, 157, 77879.5, 1.10069
14,1807, 1782.5, 147, 78041.6, 1.05083
15,1941, 1922, 152, 78208.9, 1.05572
16,8390, 2143, 614, 78384.7, 0.279663
17,2090, 2082, 152, 78559.7, 1.13676
18,2265, 2227, 158, 78741.3, 1.14016
19,2109, 2092.5, 156, 78915.9, 1.08902
20,2190, 2177, 159, 79091.8, 1.08858
21,2222, 2197.5, 159, 79269.4, 1.10448
22,2078, 2074.5, 153, 79442.6, 1.11551
23,2053, 2035.5, 157, 79616.6, 1.04665
24,2270, 2242, 159, 79797, 1.12834
25,2037, 2009.5, 158, 79968.8, 1.02538
26,2035, 2007.5, 156, 80141.4, 1.05081
27,1938, 1923.5, 145, 80308, 1.15832
28,1856, 1818.5, 149, 80474.2, 1.05055
29,1931, 1920, 147, 80639.7, 1.12294
30,1981, 1961.5, 152, 80809.4, 1.07747
31,1852, 1835, 141, 80969.7, 1.17061
32,2203, 2186, 162, 81149.2, 1.05486
33,2057, 2046, 162, 81324.1, 0.98495
34,2308, 2273.5, 159, 81507.4, 1.14723
35,2078, 2058.5, 151, 81681.3, 1.14525
36,4218, 2218.5, 314, 81861.6, 0.537597
37,2159, 2152.5, 160, 82039.6, 1.0598
38,3740, 1953, 290, 82208.9, 0.558837
39,2280, 2248.5, 164, 82390.1, 1.06526
40,2039, 2018, 152, 82562.3, 1.10902
41,2010, 1983, 158, 82736.7, 1.01179
42,1933, 1902, 147, 82903.9, 1.12411
43,2162, 2140, 160, 83079.5, 1.06127
44,2016, 1996, 153, 83251.4, 1.08222
45,3936, 2019.5, 299, 83420.5, 0.553251
46,2051, 2030.5, 159, 83595, 1.01949
47,1895, 1893.5, 145, 83759.4, 1.13262
48,2122, 2107, 158, 83936.4, 1.06817
49,2158, 2133.5, 160, 84114.1, 1.05931
50,2127, 2120.5, 154, 84289.6, 1.12703
51,4058, 2007, 303, 84463.9, 0.555439
52,2031, 2005.5, 154, 84633.6, 1.07616
53,2377, 2350, 164, 84819.6, 1.11058
54,2126, 2105.5, 160, 84994, 1.0436
55,2027, 2015, 158, 85167.7, 1.02035
56,2058, 2028, 159, 85341.6, 1.02297
57,2014, 2005, 150, 85511.1, 1.12483
58,2135, 2105.5, 159, 85685.9, 1.06124
59,2189, 2158.5, 157, 85866.7, 1.11598
60,2024, 2001.5, 152, 86038, 1.10086
61,2171, 2154, 155, 86213.1, 1.13555
62,1952, 1934, 154, 86381.9, 1.0343
