polygon, area (pxl), area (polygon), perimeter (pxl), perimeter (polygon), circularity
63,2132, 2115, 151, 86557.2, 1.17501
64,2111, 2087, 150, 86731, 1.179
65,1942, 1918, 152, 86897.9, 1.05626
66,1807, 1787, 153, 87066.6, 0.97003
67,2152, 2127, 158, 87242.9, 1.08327
68,2200, 2171, 156, 87415.3, 1.13601
69,2237, 2222.5, 158, 87596.1, 1.12606
70,2262, 2226, 161, 87774, 1.09661
71,1798, 1784, 140, 87934.7, 1.15277
72,2313, 2289, 168, 88118.4, 1.02983
73,2135, 2119, 157, 88294.4, 1.08845
74,2167, 2164, 159, 88468.9, 1.07715
75,4137, 2003, 308, 88639.2, 0.548017
76,2114, 2089, 153, 88813.3, 1.13483
77,1881, 1855, 147, 88981, 1.09387
78,2003, 1972.5, 158, 89154.5, 1.00827
79,1789, 1783, 142, 89319.1, 1.11492
80,1877, 1857, 157, 89490.3, 0.956918
81,4169, 2011.5, 310, 89662.2, 0.545153
82,2020, 2000.5, 155, 89831, 1.05657
83,2156, 2131, 152, 90007.3, 1.17266
84,2190, 2154, 156, 90183.6, 1.13085
85,1952, 1915, 146, 90347.9, 1.15076
86,2028, 2012.5, 155, 90521.5, 1.06075
87,4350, 2174, 304, 90699.3, 0.591496
88,2198, 2183.5, 158, 90876.7, 1.10643
89,2026, 1998.5, 146, 91044.8, 1.19438
90,1947, 1927.5, 144, 91210.4, 1.17992
91,2094, 2080, 158, 91385.2, 1.05408
92,2285, 2263, 159, 91568.3, 1.1358
93,2047, 2028, 148, 91740.7, 1.17437
94,2331, 2291, 167, 91926.7, 1.05031
95,2171, 2134.5, 158, 92106.4, 1.09284
96,1744, 1733.5, 143, 92266.3, 1.07173
97,2147, 2143, 160, 92444.3, 1.05391
98,1989, 1957.5, 149, 92611.9, 1.12583
99,2115, 2106, 159, 92787.4, 1.0513
100,2018, 1991, 152, 92958.7, 1.0976
101,2294, 2282.5, 160, 93139.9, 1.12606
102,2107, 2077.5, 155, 93314.1, 1.10207
103,2087, 2052.5, 156, 93486.9, 1.07766
104,1791, 1782.5, 143, 93651.3, 1.10061
105,2107, 2094, 163, 93830.4, 0.99655
106,1987, 1962.5, 155, 94000.7, 1.03931
107,2187, 2166.5, 151, 94176, 1.20533
108,2158, 2150.5, 161, 94354.6, 1.04619
109,2037, 2013.5, 154, 94526.4, 1.07934
110,1790, 1770, 144, 94684.6, 1.08477
111,2192, 2161.5, 156, 94862.5, 1.13188
112,2081, 2059.5, 164, 95041.7, 0.972286
113,1827, 1824.5, 148, 95208.6, 1.04815
114,2100, 2097, 155, 95382.9, 1.09841
115,1787, 1771, 139, 95542, 1.16226
116,2084, 2059, 159, 95716.6, 1.03589
117,1979, 1946, 150, 95888, 1.10528
118,2124, 2110, 155, 96062.4, 1.11097
119,2015, 1991.5, 155, 96236.1, 1.05395
120,2041, 2007.5, 157, 96410.6, 1.04053
121,1880, 1844, 150, 96573.2, 1.04999
122,2210, 2171.5, 158, 96754.7, 1.11247
123,1896, 1883.5, 149, 96923.5, 1.07319
124,2083, 2067.5, 148, 97093.3, 1.19502
