polygon, area (pxl), area (polygon), perimeter (pxl), perimeter (polygon), circularity
0,2231, 2195, 300, 224.848, 0.311506
1,2499, 2448.5, 274, 467.53, 0.418288
2,2436, 2442.5, 328, 715.211, 0.284537
3,2450, 2465, 290, 968.648, 0.366083
4,2206, 2144.5, 262, 1186.19, 0.403843
5,2320, 2316, 314, 1425.68, 0.295691
6,1776, 1747.5, 253, 1642.26, 0.348668
7,2507, 2510, 314, 1882.29, 0.319525
8,2597, 2554, 291, 2139.42, 0.385386
9,2354, 2305.5, 274, 2373.42, 0.394017
10,2520, 2520, 324, 2616.62, 0.301662
11,2738, 2737, 348, 2877.22, 0.284109
12,2486, 2488.5, 321, 3119.92, 0.30318
13,2396, 2346, 296, 3364.72, 0.343648
14,2376, 2371.5, 316, 3604.97, 0.299008
15,2461, 2492, 292, 3839.54, 0.362707
16,2566, 2566, 307, 4085.21, 0.342129
17,2495, 2436, 306, 4335.7, 0.33484
18,2263, 2249, 308, 4565.65, 0.299773
19,2390, 2359, 334, 4817.54, 0.269225
20,2036, 1990, 305, 5056.77, 0.275035
21,2387, 2317, 296, 5296.69, 0.342357
22,2440, 2374.5, 292, 5538.88, 0.359612
23,2135, 2118.5, 261, 5767.09, 0.393846
24,2479, 2447, 328, 6012.92, 0.28956
25,2308, 2324.5, 281, 6235.89, 0.36731
26,2175, 2191.5, 277, 6455.27, 0.356213
27,2228, 2156, 232, 6663.73, 0.520175
28,2247, 2266.5, 280, 6888.91, 0.360161
29,2425, 2436, 313, 7131.43, 0.311052
30,2471, 2506.5, 296, 7374.4, 0.354404
31,2484, 2470.5, 322, 7618.83, 0.301058
32,2990, 2960, 356, 7889.71, 0.29647
33,3897, 3889.5, 404, 8203.95, 0.300039
34,1635, 1599.5, 226, 8393.6, 0.402264
35,2544, 2537.5, 333, 8642.45, 0.288296
36,1853, 1800.5, 238, 8842.1, 0.411085
37,2878, 2881.5, 362, 9116.5, 0.275984
38,2464, 2467.5, 278, 9359.85, 0.400646
39,1948, 1888, 246, 9574.01, 0.404509
40,1877, 1839, 278, 9781.02, 0.3052
41,2385, 2421.5, 288, 10024.7, 0.361338
42,2202, 2186.5, 305, 10254.4, 0.297459
43,2005, 2023.5, 284, 10480, 0.312383
44,2043, 2046, 268, 10695, 0.357445
45,2259, 2248.5, 333, 10943.2, 0.255999
46,2257, 2260.5, 310, 11179.7, 0.295133
47,2518, 2454.5, 280, 11422.7, 0.403598
48,2386, 2341.5, 336, 11675.5, 0.265584
49,2324, 2320.5, 310, 11911.2, 0.303894
50,2138, 2131, 320, 12149.5, 0.262372
51,1861, 1845.5, 289, 12364.5, 0.280002
52,2302, 2303, 306, 12596.8, 0.308939
53,2429, 2444.5, 302, 12833.3, 0.334675
54,2650, 2621, 344, 13089.7, 0.28141
55,2432, 2435.5, 271, 13327, 0.416136
56,2206, 2171, 322, 13564.5, 0.267364
57,2064, 2035.5, 304, 13789.6, 0.280655
58,2323, 2285, 272, 14030.3, 0.394567
59,2341, 2319.5, 271, 14267.6, 0.400565
60,2073, 2024.5, 282, 14484.5, 0.327575
61,2601, 2623, 280, 14729, 0.416902
62,1522, 1508, 231, 14901.4, 0.358427
63,2277, 2247.5, 310, 15135.4, 0.297748
64,2283, 2274.5, 294, 15361.2, 0.331911
65,2442, 2411, 320, 15600, 0.299678
66,1968, 1928, 258, 15820.6, 0.371531
67,2420, 2353, 283, 16070.5, 0.37971
68,2421, 2361, 276, 16305.1, 0.39938
69,2310, 2262.5, 302, 16541.7, 0.318279
70,2470, 2452.5, 319, 16792.2, 0.305018
71,2292, 2227, 266, 17024.4, 0.407063
72,2449, 2485.5, 308, 17276.1, 0.324412
73,1987, 1947.5, 276, 17486.4, 0.327785
74,2472, 2470.5, 322, 17730.2, 0.299603
75,2652, 2660, 334, 17982.8, 0.298738
76,2133, 2087, 257, 18198.4, 0.405821
77,2128, 2091.5, 262, 18412.2, 0.389564
78,1860, 1868, 290, 18631.1, 0.277924
79,2148, 2143, 288, 18848.9, 0.325431
80,2739, 2740, 326, 19098.4, 0.323867
81,2528, 2503, 334, 19347.9, 0.28477
82,1963, 1926.5, 267, 19559.1, 0.346025
83,2320, 2283.5, 318, 19798.7, 0.288299
84,2372, 2296, 290, 20049.3, 0.354428
85,2296, 2231.5, 266, 20280.6, 0.407773
86,2527, 2521.5, 291, 20534.9, 0.374998
87,2714, 2680, 294, 20764.4, 0.394571
88,2305, 2245, 278, 20993.6, 0.374793
89,2458, 2417.5, 304, 21227.8, 0.334229
90,2141, 2115.5, 306, 21457, 0.287332
91,2440, 2436, 308, 21693.9, 0.32322
92,2533, 2469.5, 286, 21947.8, 0.389146
93,2341, 2339, 251, 22160.6, 0.466943
94,2106, 2121.5, 282, 22388, 0.33279
95,2031, 1964, 246, 22608.4, 0.421745
96,2354, 2319.5, 272, 22850.8, 0.399833
97,1941, 1891, 266, 23065, 0.344724
98,2279, 2301.5, 290, 23303.5, 0.340532
99,1762, 1761, 254, 23508.7, 0.343201
100,1163, 1178.5, 188, 23654.8, 0.413498
101,2756, 2762, 280, 23889.9, 0.441746
102,2003, 1993, 266, 24094.4, 0.355736
103,2564, 2566.5, 328, 24342.9, 0.299489
104,1554, 1551, 192, 24516.7, 0.529735
105,966, 935, 164, 24642.1, 0.451335
106,2166, 2131.5, 289, 24878.4, 0.325891
107,2210, 2239, 274, 25115.5, 0.369914
108,2282, 2266, 298, 25342.7, 0.322919
109,2303, 2275, 320, 25581.8, 0.282621
110,1948, 1933, 299, 25807.2, 0.273814
111,2337, 2357, 284, 26034.5, 0.364109
112,2780, 2821, 343, 26307.6, 0.296938
113,1051, 1025.5, 170, 26442.2, 0.456998
114,2445, 2388.5, 320, 26685.1, 0.300047
115,2685, 2688, 334, 26938.8, 0.302455
116,2443, 2408.5, 334, 27187.6, 0.275195
117,1451, 1438.5, 211, 27347.4, 0.409555
118,2395, 2412.5, 268, 27582.3, 0.419031
119,2090, 2075.5, 302, 27809.5, 0.287967
120,2529, 2492, 296, 28033.3, 0.362723
121,801, 798, 148, 28148.1, 0.459535
122,1026, 991, 174, 28285, 0.425852
123,897, 859.5, 150, 28409.9, 0.500979
